"time","half","year"
19,"First",1930
40,"First",1930
43,"First",1930
87,"Second",1930
70,"Second",1930
81,"Second",1930
3,"First",1930
65,"Second",1930
52,"Second",1930
67,"Second",1930
8,"First",1930
17,"First",1930
80,"Second",1930
12,"First",1930
55,"Second",1930
53,"Second",1930
42,"First",1930
65,"Second",1930
75,"Second",1930
12,"First",1930
13,"First",1930
51,"Second",1930
15,"First",1930
21,"First",1930
30,"First",1930
62,"Second",1930
60,"Second",1930
67,"Second",1930
65,"Second",1930
85,"Second",1930
37,"First",1930
73,"Second",1930
57,"Second",1930
83,"Second",1930
1,"First",1930
79,"Second",1930
89,"Second",1930
75,"Second",1930
65,"Second",1930
7,"First",1930
26,"First",1930
31,"First",1930
35,"First",1930
23,"First",1930
45,"First",1930
69,"Second",1930
10,"First",1930
15,"First",1930
50,"Second",1930
40,"First",1930
20,"First",1930
56,"Second",1930
69,"Second",1930
87,"Second",1930
80,"Second",1930
85,"Second",1930
89,"Second",1930
18,"First",1930
67,"Second",1930
72,"Second",1930
20,"First",1930
31,"First",1930
61,"Second",1930
4,"First",1930
12,"First",1930
57,"Second",1930
68,"Second",1930
89,"Second",1930
20,"First",1930
37,"First",1930
18,"First",1934
25,"First",1934
29,"First",1934
55,"Second",1934
11,"First",1934
31,"First",1934
61,"Second",1934
53,"Second",1934
35,"First",1934
39,"First",1934
7,"First",1934
43,"First",1934
66,"Second",1934
29,"First",1934
69,"Second",1934
18,"First",1934
29,"First",1934
64,"Second",1934
20,"First",1934
69,"Second",1934
63,"Second",1934
90,"Second",1934
57,"Second",1934
50,"Second",1934
67,"Second",1934
11,"First",1934
9,"First",1934
67,"Second",1934
79,"Second",1934
4,"First",1934
48,"Second",1934
44,"First",1934
93,"Extra",1934
109,"Extra",1934
18,"First",1934
116,"Extra",1934
25,"First",1934
49,"Second",1934
66,"Second",1934
70,"Second",1934
87,"Second",1934
29,"First",1934
43,"First",1934
8,"First",1934
51,"Second",1934
60,"Second",1934
44,"First",1934
30,"First",1934
60,"Second",1934
63,"Second",1934
82,"Second",1934
24,"First",1934
49,"Second",1934
82,"Second",1934
18,"First",1934
78,"Second",1934
11,"First",1934
